id,weight_in_tonnes,number_of_packages,origin,destination,CO2_in_grams
116119,0.003,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"SHANGHAI AIRCRAFT MANUFACTURING CO. 501994 135  No. 3115 Changzhong Road,    CN - 200436 Shanghai,
",2106
111777,0.009,4,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"SHANGHAI AIRCRAFT MANUFACTURING CO. 501994 135  No. 3115 Changzhong Road,    CN - 200436 Shanghai,
",25272
111775,0.003,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"SHANGHAI AIRCRAFT MANUFACTURING CO. 501994 135  No. 3115 Changzhong Road,    CN - 200436 Shanghai,
",2106
111765,0.004,9,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"SHANGHAI AIRCRAFT MANUFACTURING CO. 501994 135  No. 3115 Changzhong Road,    CN - 200436 Shanghai,
",25272
110425,0.011,9,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"SHANGHAI AIRCRAFT MANUFACTURING CO. 501994 135  No. 3115 Changzhong Road,    CN - 200436 Shanghai,
",69498
110402,0.001,17,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"SHANGHAI AIRCRAFT MANUFACTURING CO. 501994 135  No. 3115 Changzhong Road,    CN - 200436 Shanghai,
",11934
110140,0.0,11,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"SHANGHAI AIRCRAFT MANUFACTURING CO. 501994 135  No. 3115 Changzhong Road,    CN - 200436 Shanghai,
",0
110138,0.002,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"SHANGHAI AIRCRAFT MANUFACTURING CO. 501994 135  No. 3115 Changzhong Road,    CN - 200436 Shanghai,
",1404
107054,0.002,4,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"SHANGHAI AIRCRAFT MANUFACTURING CO. 501994 135  No. 3115 Changzhong Road,    CN - 200436 Shanghai,
",5616
108264,0.012,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"SUPERJET INTERNATIONAL S.P.A. 501990 250  2501 NW 34TH PLACE - 33069 POMPANO BEACH, FL
",7460
113711,0.001,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"SUPERJET INTERNATIONAL S.p.A. 502020 250  Leninskaya Sloboda street - 115280 Moscow
",330
111758,0.059,4,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"TECHMETALS INC 499999 661  2200 E FIRST ST - 45403 DAYTON OHIO,
",132684
107225,0.071,5,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"TECHMETALS INC SUP202488 664  345 SPRINGFIELD STREET - 45403 DAYTON
",199585
109912,0.008,5,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"TRIUMPH ACTUATION SYSTEMS SUP210346 662  2720 W WASHINGTON AVE - 98903 YAKIMA
",26770
109595,0.196,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"West Star Aviation 500435 663  2 Airline Court - 62024 EAST ALTON, IL
",116958
116155,0.202,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"West Star Aviation Inc. 500435 663  790 Heritage Way - 81506 Grand Junction Co
",137121
111451,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"WOODWARD MPC INC. SUP777062 250  6300 WEST HOWARD STREET - 60714 NILES, ILLINOIS
",0
111059,0.0,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"WOODWARD MPC INC. SUP777062 662  6300 WEST HOWARD STREET - 60714 NILES, ILLINOIS
",0
107896,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"WOODWARD MPC INC. SUP777062 662  6300 WEST HOWARD STREET - 60714 NILES, ILLINOIS
",0
107640,0.058,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"WOODWARD MPC INC. SUP777062 664  6300 WEST HOWARD STREET - 60714 NILES, ILLINOIS
",32878
151154,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Yabora Industria Aeronautica S.A. 500514 135  2170, Brigadeiro Faria Lima AV    BR - 12225 Sao Jose dos Campos
",0
108381,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Yabora Industria Aeronautica S.A. 500514 135  2170, Brigadeiro Faria Lima AV    BR - 12225 Sao Jose dos Campos
",760
113576,0.415,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Yabora Industria Aeronautica S.A. 500514 638  Rodovia Floriano Rodrigues    BR - 12042 SP-000 TAUBATE
",628626
"",0.0,0,"","
",0
