id;weight_in_kg;number_packages;origin;destination
111083;38;14;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
110445;0,82;33;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
110443;25;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
110441;505;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
110439;7,3;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
110437;73,4;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108601;7,35;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108586;2,33;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108584;20;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108582;600;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108580;132;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108578;169;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108576;30;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108574;42;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108572;1;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108570;5;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108568;363;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108566;88;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108564;502;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108562;784;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108560;788;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108558;50;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108556;6,1;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108554;75;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108552;41,6;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108400;45;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108398;11,46;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108396;502;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
108192;670;24;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
107616;97;15;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
107060;112,2;15;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Lindenberg GmbH 00033 160  Adelheidstrasse 40    DE - 88046 Friedrichshafen
114718;8,44;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Toulouse SA 401074 197  39 Avenue de Lacourtensourt    FR - 31140 Aucamville FRANCE
116137;109,7;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Toulouse SAS 499999 91  408 Avenue des Etats Unis    FR - 31016 Toulouse Cedex 2
115546;0,73;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Toulouse SAS 500228 210  39 Avenue de Lacourtensourt    FR - 31140 Aucamville
115544;0,47;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Toulouse SAS 500228 213  39 Avenue de Lacourtensourt    FR - 31140 Aucamville
109018;3,32;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Toulouse SAS 500228 213  39 Avenue de Lacourtensourt    FR - 31140 Aucamville
107840;21,72;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Toulouse SAS 500228 213  39 Avenue de Lacourtensourt    FR - 31140 Aucamville
107711;0,62;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Toulouse SAS 500228 213  39 Avenue de Lacourtensourt    FR - 31140 Aucamville
112174;12,33;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Toulouse SAS 500228 658  39 Avenue de Lacourtensourt    FR - 31140 Aucamville
113002;5,34;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Toulouse SAS 500228 661  39 Avenue de Lacourtensourt    FR - 31140 Aucamville
112166;10,71;3;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Aerospace Toulouse SAS 500228 668  39 Avenue de Lacourtensourt    FR - 31140 Aucamville
113343;850;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTORNIK GMBH W006181 91  PETER-DORNIER-STRASSE 11    DE - 88131 Lindau
118004;15,34;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
117302;1,61;3;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
117297;1,15;4;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
117294;1,83;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
114323;2,06;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
113098;2,25;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
113096;10,07;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
110316;1,23;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
108386;1,11;8;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
108384;5,25;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
107347;14,34;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
107344;5,2;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
107035;9,76;3;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
107033;10,03;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR ELEKTRONIK GMBH SUP869030 160  PETER-DORNIER-STRASSE 11    DE - 88131 LINDAU (BODENSEE)
