Origin-Destination;Class;NumberOfFlights
PRG-FRA;Business;52
PRG-FRA;Eco;1032
FRA-PRG;Business;6
FRA-PRG;Eco;683
FRA-ZRH;Business;21
FRA-ZRH;Eco;526
PRG-LUX;Business;2
PRG-LUX;Eco;305
LUX-PRG;Eco;277
ZRH-FRA;Business;1
ZRH-FRA;Eco;207
FRA-AMS;Business;7
FRA-AMS;Eco;148
FRA-BRU;Business;7
FRA-BRU;Eco;115
FRA-VIE;Business;6
FRA-VIE;Eco;92
FRA-LEJ;Business;2
FRA-LEJ;Eco;81
FRA-MUC;Business;24
FRA-MUC;Eco;53
FRA-SIN;First;2
