origin,destination,number of trips,CO2 in grams
"brandis,4821","zingst,nordvorpommern",1,1818271
"braunfels,35619","friedrichskoog-spitze,dithmarschen",1,105569
"braunschweig,38100","wiek,rügen",1,85503
"braunschweig,38102","osterode,nordhausen",1,21168
"braunschweig,38104","waren,müritz",1,52650
"braunschweig,38106","beckerwitz,nordwestmecklenburg",1,51073
"braunschweig,38108","cuxhaven,cuxhaven",1,57088
"braunschweig,38108","kopendorf,ostholstein",1,64927
"braunschweig,38108","pelzerhaken,ostholstein",1,53157
"braunschweig,38108","tossens,wesermarsch",1,55945
"braunschweig,38108","warsingsfehn,leer",1,62784
"braunschweig,38110","kappeln,schleswig-flensburg",1,70026
"braunschweig,38112","jordanshöhe,goslar",1,17418
"braunschweig,38118","priwall peninsula,lübeck",1,50505
"braunschweig,38122","boltenhagen,nordwestmecklenburg",1,54003
"braunschweig,38122","siedlung neu borstel,heidekreis",1,27243
"braunschweig,38122","zingst,nordvorpommern",1,76607
"braunschweig,38124","großenbrode,ostholstein",1,64244
"braunschweig,38124","hafendorf,mecklenburgische seenplatte",1,51771
"breckerfeld,58339","zingst,nordvorpommern",1,132716
"bredstedt,25821","wenningstedt-braderup,nordfriesland",1,14001
"breese,19322","vieregge,rügen",1,53617
"breitenfelde,23881","sassnitz,rügen",1,58860
"bremen,28197","balm,ostvorpommern",1,97004
"bremen,28199","fehrenbach,hildburghausen",1,85517
"bremen,28203","glowe,rügen",1,92769
"bremen,28207","burhafe,wittmund",1,25999
"bremen,28209","sandbrink,diepholz",1,18944
"bremen,28213","binz,rügen",1,92177
"bremen,28215","jamitzow,ostvorpommern",1,92369
"bremen,28217","dümmer,ludwigslust-parchim",1,45289
"bremen,28217","zingst,nordvorpommern",1,79216
"bremen,28237","ockholm,nordfriesland",1,45744
"bremen,28239","harleshausen,kassel",1,54565
"bremen,28239","kappel,freiburg",1,154154
"bremen,28239","ribnitz,rostock",1,73073
"bremen,28259","fehmarn,ostholstein",1,59455
"bremen,28259","sterdebüll,nordfriesland",1,47315
"bremen,28277","kappeln,schleswig-flensburg",1,51918
"bremen,28309","schwerin,ludwigslust-parchim",1,47791
"bremen,28329","schönhagen,rendsburg-eckernförde",1,50345
"bremen,28357","priwall peninsula,lübeck",1,43039
"bremen,28717","münster-altstadt,münster",1,40659
"bremen,28755","bippen,osnabrück",1,23769
"bremen,28757","wilhelmshausen,kassel",1,55372
"bremen,28779","humboldt - gremberg,cologne",1,73160
"bremerhaven,27570","redewisch,nordwestmecklenburg",1,47651
"bremerhaven,27572","hildfeld,arnsberg",1,67162
"bremerhaven,27580","heligoland,pinneberg",1,21629
"bremervörde,27432","bad harzburg,goslar",1,53908
"bremervörde,27432","braunlage,goslar",1,58676
"bremervörde,27432","hörnum,nordfriesland",1,40536
"bremervörde,27432","niendorf/ostsee,ostholstein",1,33227
"bretten,75015","dagebüll,nordfriesland",1,168826
"bretzenheim,55559","hinang,swabia",1,85438
"brieselang,14656","ahlbeck,ostvorpommern",1,45413
"brilon,59929","brilon,arnsberg",1,425
"brilon,59929","dierkow-west,rostock",1,102531
"britz,16230","hornstorf,nordwestmecklenburg",1,50514
"brotdorf,66663","kaimt,cochem-zell",1,19047
"bruchköbel,63486","mannebach,rhein-hunsrück-kreis",1,28784
"bruchköbel,63486","ostseebad,rügen",1,151321
"bruchsal,76646","norddeich,aurich",1,136574
"bruchsal,76646","obergrainau,upper bavaria",1,68351
"brunsbek,22946","husum,nordfriesland",1,33940
"brunsbek,22946","sankt peter-ording,nordfriesland",1,35443
"brüel,19412","hohendorf,nordvorpommern",1,36330
"brühl,5021","greetsiel,aurich",1,79487
"buchholz,21244","ashausen,harburg",1,4829
"buchholz,21244","eisenach,wartburgkreis",1,69920
"buchholz i.d. nordheide,21244","glowe,rügen",1,73101
"buchholz in der nordheide,21244","arle,aurich",1,44650
"budenheim,55257","kappeln,schleswig-flensburg",1,141275
"burg,25712","oberselk,schleswig-flensburg",1,15102
"burg,39288","ilmenau,ilm-kreis",1,51216
"burg stargard,17094","dewichow,ostvorpommern",1,17714
"burgdorf,31303","kappeln,schleswig-flensburg",1,64673
"burgstädt,9217","kreuzfeld,upper bavaria",1,93951
"burgwald,35099","hofstetten,freiburg",1,83079
"burgwedel,30938","alt travemünde - rönnau,lübeck",1,46927
"butjadingen,26969","großwürden,wesermarsch",1,1457
"buxtehude,21614","boltenhagen,nordwestmecklenburg",1,30963
"buxtehude,21614","pelzerhaken,ostholstein",1,27692
"buxtehude,21614","wyk auf föhr,nordfriesland",1,41330
"böblingen,71032","obermaiselstein,swabia",1,43543
"bönen,5919","lensterstrand,ostholstein",1,95670
"bönen,59199","kappeln,schleswig-flensburg",1,99042
"börßum,38312","schönhagen,rendsburg-eckernförde",1,76825
"büchlberg,94124","bodenwöhr,upper palatinate",1,29538
"bückeburg,31675","priwall peninsula,lübeck",1,59293
"bünde,32257","hemer,arnsberg",1,28375
"bünde,32257","sankt peter-ording,nordfriesland",1,62567
"bünde,32257","sasbach am kaiserstuhl,freiburg",1,121923
"bürgstadt,63927","deudesfeld,vulkaneifel",1,50521
"bützow,18246","gifhorn,gifhorn",1,47695
"calberlah,38547","sankt peter-ording,nordfriesland",1,65871
"callenberg,9337","willingen,kassel",1,76777
"calw,75365","heringsdorf,ostvorpommern",1,185246
"castrop rauxel,44579","heringsdorf,ostholstein",1,104665
"castrop-rauxel,44575","ferienpark kronenburger see,cologne",1,38457
"castrop-rauxel,44581","priwall peninsula,lübeck",1,94521
"celle,29223","großenbrode,ostholstein",1,54378
"celle,29225","dahme,ostholstein",1,51432
"celle,29227","thale,harz",1,30204
"celle,29229","großenbrode,ostholstein",1,53467
"celle,29229","sandbrink,diepholz",1,32066
"chemnitz,9112","glashütt,lower bavaria",1,54653
"chemnitz,9113","balm,ostvorpommern",1,94229
"chemnitz,9114","grube,ostholstein",1,105457
"chemnitz,9114","koserow,ostvorpommern",1,96573
"chemnitz,9114","prerow,nordvorpommern",1,106274
"chemnitz,9117","emsetal,gotha",1,45155
"chemnitz,9117","hafendorf,mecklenburgische seenplatte",1,75251
"chemnitz,9117","lenggries,upper bavaria",1,96414
"chemnitz,9125","lockwitz,dresden government region",1,17391
"chemnitz,9125","zschieren,dresden government region",1,18508
"chemnitz,9126","zempin,ostvorpommern",1,98221
"chemnitz,9131","boltenhagen,nordwestmecklenburg",1,97951
"cloppenburg,49661","hooksiel,friesland",1,23366
"cloppenburg,49661","oldenburg,oldenburg",1,9346
"coesfeld,48653","jedutenberg,bremerhaven",1,53971
"coesfeld,48653","lehe,ammerland",1,44884
"coswig,1640","titisee,freiburg",1,140851
"coswig (anhalt),6868","warnemünde,rostock",1,64916
"cottbus,3042","schilksee,plön",1,108695
"cottbus,3051","kurort oybin,dresden government region",1,26816
"crailsheim,11","bad bergzabern,südliche weinstraße",1,40635
"crailsheim,74564","altglashütten,freiburg",1,53962
"cremlingen,38162","sellin,ostvorpommern",1,73241
"crivitz,19089","ostseebad,rügen",1,42846
"crottendorf,9474","warnemünde,rostock",1,109783
"cuxhaven,27476","hohendorf,nordvorpommern",1,89236
"dagebüll,25899","goting,nordfriesland",1,4274
"dahlenburg,21368","waase,rügen",1,57170
"dallgow-döberitz,14624","wustrow,nordvorpommern",1,54926
"dankmarshausen,99837","ofterschwang,swabia",1,101989
"dannewerk,24867","schönwald im schwarzwald,freiburg",1,190667
"darmstadt,64283","fischen,swabia",1,78267
"darmstadt,64295","niederaula,kassel",1,34033
"darmstadt,64297","bensheim,darmstadt",1,4153
"darmstadt,64297","helpt,mecklenburg-strelitz",1,142233
"dasing,86453","baabe,rügen",1,184168
"datteln,45711","friedrichskoog,dithmarschen",1,75493
"datteln,45711","güntersberge,harz",1,67304
"datteln,45711","liesen,arnsberg",1,28443
"dautphetal,35232","großenbrode,ostholstein",1,114366
"deggendorf,94469","baabe,rügen",1,164346
"deinstedt,27446","hafendorf,mecklenburgische seenplatte",1,62142
"deinstedt,27446","rerik,rostock",1,46833
"deisel,34388","zirchow,ostvorpommern",1,109003
"delbrück-ostenland,33129","grömitz,ostholstein",1,81568
"delitzsch,4509","dändorf,nordvorpommern",1,81637
"delmenhorst,27751","gronau,cologne",1,38705
"delmenhorst,27751","zingst,nordvorpommern",1,81759
"delmenhorst,27753","neuringe,emsland",1,30899
"demitz-thumitz,1877","bansin,ostvorpommern",1,83969
"dessau - roßlau,6844","zingst,nordvorpommern",1,76898
"dessau-roßlau,6846","kurort oberwiesenthal,chemnitz",1,44759
"dessau-roßlau,6849","seebad heringsdorf,ostvorpommern",1,72580
"dessau-roßlau,6862","karlshagen,ostvorpommern",1,70852
"detmold,32756","rott,detmold",1,1541
"detmold,32756","westerhever,nordfriesland",1,72650
"detmold,32758","graal,rostock",1,91423
"detmold,32760","niedersalwey,arnsberg",1,24111
"detmold,32760","niendorf/ostsee,ostholstein",1,70871
"dettenhausen,72135","priwall peninsula,lübeck",1,161990
"diedorf,86420","blossersberg,lower bavaria",1,47090
"diepholz,49356","borkum,leer",1,41737
"diepholz,49356","kappeln,schleswig-flensburg",1,67049
"diessen am ammersee,86911","bühl a.alpsee,swabia",1,21319
"diessen am ammersee,86911","viechtach,lower bavaria",1,48537
"dietzenbach,63128","pelzerhaken,ostholstein",1,126722
"dillingen,66763","haustadt,merzig-wadern",1,1494
"dingolfing,84130","frohnhausen,düsseldorf",1,134143
"dinslaken,46537","borkum,leer",1,59824
"dinslaken,46537","gammendorf,ostholstein",1,116882
"dinslaken,46537","ostseebad,rügen",1,149272
"dinslaken,46539","haffkrug,ostholstein",1,101997
"dissen,49201","ahlbeck,ostvorpommern",1,119883
"dissen,49201","dagebüll,nordfriesland",1,78203
"dissen,49201","montroyal,bernkastel-wittlich",1,66397
"doberschau,2692","stubbenfelde,ostvorpommern",1,85711
"doberschütz,4838","altenholz-klausdorf,rendsburg-eckernförde",1,98212
"doberschütz,4838","haffkrug,ostholstein",1,83888
"dohna,1809","grünheide,chemnitz",1,42662
"dommitzsch,4880","thale,harz",1,33990
"donaustauf,93093","kühlungsborn,rostock",1,152153
"dormagen,41542","friedrichskoog-spitze,dithmarschen",1,94958
"dornum,26553","neßmersiel,aurich",1,1534
"dornum,26553","wangerooge,friesland",1,9313
"dornum,26553","weitendorf-hof,nordwestmecklenburg",1,70752
"dorsten,46282","cranzahl,chemnitz",1,117321
"dorsten,46282","hooksiel,friesland",1,61809
"dorsten,46284","rudow,neukölln",1,121900
"dorsten,46286","staberdorf,ostholstein",1,109740
"dortmund,44122","hemer,arnsberg",1,6911
"dortmund,44139","rinnthal,südliche weinstraße",1,68195
"dortmund,44139","surendorf,rendsburg-eckernförde",1,99932
"dortmund,44141","medebach,arnsberg",1,24003
"dortmund,44141","tjücher äcker,aurich",1,60213
"dortmund,44143","carolinensiel,wittmund",1,64721
"dortmund,44143","hooksiel,friesland",1,63388
"dortmund,44143","koogsreihe,nordfriesland",1,99611
"dortmund,44143","norddeich,aurich",1,62616
"dortmund,44143","speyer,speyer",1,67732
"dortmund,44143","süderhafen,nordfriesland",1,91167
"dortmund,44147","glowe,rügen",1,140536
"dortmund,44147","oland,nordfriesland",1,96302
"dortmund,44149","norden,aurich",1,62257
"dortmund,44225","schillig,friesland",1,66887
"dortmund,44229","niendorf/ostsee,ostholstein",1,96757
"dortmund,44263","vadersdorf,ostholstein",1,110087
"dortmund,44265","esens,wittmund",1,64821
"dortmund,44267","boltenhagen,nordwestmecklenburg",1,100096
"dortmund,44269","eibenstock,chemnitz",1,99235
"dortmund,44287","dagebüll,nordfriesland",1,98455
"dortmund,44309","friedrichskoog-spitze,dithmarschen",1,77948
"dortmund,44309","habischried,lower bavaria",1,130661
"dortmund,44319","elkeringhausen,arnsberg",1,20547
"dortmund,44328","kleinern,kassel",1,30923
"dortmund,44328","niedersfeld,arnsberg",1,20530
"dortmund,44328","schillig,friesland",1,64730
"dortmund,44339","humboldt - gremberg,cologne",1,20485
"dortmund,44369","usedom,ostvorpommern",1,139691
"dortmund,44379","norddeich,aurich",1,62709
"dortmund,44379","sandbrink,diepholz",1,34897
"dossenheim,69221","schausende,schleswig-flensburg",1,161531
"dossenheim,69221","süderbrarup,schleswig-flensburg",1,155320
"dreetz,16845","warnemünde,rostock",1,41205
"dreieich,63303","weyer,giessen",1,13444
"drensteinfurt,48317","greetsiel,aurich",1,51750
"drensteinfurt,48317","wissinghausen,arnsberg",1,23874
"dresden,1097","nordwerdum,wittmund",1,134107
"dresden,1097","rankwitz,ostvorpommern",1,86082
"dresden,1099","baabe,rügen",1,98943
"dresden,1099","binz,rügen",1,100209
"dresden,1099","hohendorf,nordvorpommern",1,89138
"dresden,1108","parow,nordvorpommern",1,1904494
"dresden,1109","silberberg,lower bavaria",1,1995825
"dresden,1109","ummanz,rügen",1,1913405
"dresden,1129","rankwitz,ostvorpommern",1,86082
"dresden,1129","untergöhren,mecklenburgische seenplatte",1,75978
"dresden,1129","zingst,nordvorpommern",1,102301
"dresden,1139","lietzow,rügen",1,102017
"dresden,1139","olpenitzdorf,schleswig-flensburg",1,126489
"dresden,1139","remplin,demmin",1,82479
"dresden,1157","glowe,rügen",1,104631
"dresden,1189","priwall peninsula,lübeck",1,2380253
"dresden,1189","pöhla,chemnitz",1,2483874
"dresden,1189","zingst,nordvorpommern",1,2386765
"dresden,1219","hasselfelde,harz",1,56732
"dresden,1257","staberdorf,ostholstein",1,109331
"dresden,1259","priwall peninsula,lübeck",1,1961713
"dresden,1259","zingst,nordvorpommern",1,1983739
"dresden,1277","bad saarow,oder-spree",1,36820
"dresden,1277","rittersgrün,chemnitz",1,24525
"dresden,1307","fuhlendorf,nordvorpommern",1,100669
"dresden,1309","glowe,rügen",1,1907959
"duderstadt,37115","binz,rügen",1,104761
"duingen,31089","gifhorn,gifhorn",1,21059
"duisburg,47057","kurort oberwiesenthal,chemnitz",1,119166
"duisburg,47057","priwall peninsula,lübeck",1,104980
"duisburg,47137","norddeich,aurich",1,64154
"duisburg,47139","sandbrink,diepholz",1,43225
"duisburg,47166","heessen,schaumburg",1,48141
"duisburg,47167","ahrenshoop,nordvorpommern",1,131747
"duisburg,47167","osteel,aurich",1,61164
"duisburg,47226","eisenach,wartburgkreis",1,68136
"duisburg,47226","schönhagen,rendsburg-eckernförde",1,112642
"duisburg,47228","merl,cochem-zell",1,42035
"duisburg,47239","deudesfeld,vulkaneifel",1,38385
"duisburg,47239","korweiler,rhein-hunsrück-kreis",1,40845
"duisburg,47249","heiligenhafen,ostholstein",1,116432
"duisburg,47259","bansin,ostvorpommern",1,154509
"duisburg,47259","niedersfeld,arnsberg",1,33850
"duisburg,47269","kampen,nordfriesland",1,110533
"duisburg,47269","rickenbach,freiburg",1,113347
"duisburg,47269","zachenberg,lower bavaria",1,137991
"duisburg,47279","schwalenberg,detmold",1,46511
"durmersheim,76448","innerlehen,freiburg",1,34103
"durmersheim,76448","köndringen,freiburg",1,25525
"durmersheim,76448","stahlbrode,nordvorpommern",1,182196
"dusseldorf,40547","midlum,leer",1,61694
"dänischenhagen,24229","kappeln,schleswig-flensburg",1,7637
"döbeln,4720","boltenhagen,nordwestmecklenburg",1,91490
"döbeln,4720","oberwössen,upper bavaria",1,102535
"döhlau,95182","bernkastel-kues,bernkastel-wittlich",1,94072
"dülmen,48249","priwall peninsula,lübeck",1,89024
"dülmen,48249","thale,harz",1,68535
"düren,52351","karschau,schleswig-flensburg",1,128937
"düren,52351","wyk auf föhr,nordfriesland",1,121362
"düsseldorf,40221","büsum,dithmarschen",1,95074
"düsseldorf,40221","woldegk,woldegk",1,140983
"düsseldorf,40229","winterberg,arnsberg",1,31299
"düsseldorf,40233","rohren,cologne",1,7821
"düsseldorf,40235","friedrichskoog-spitze,dithmarschen",1,90907
"düsseldorf,40235","priwall peninsula,lübeck",1,108868
"düsseldorf,40237","zilsdorf,vulkaneifel",1,28477
"düsseldorf,40472","niendorf/ostsee,ostholstein",1,108246
"düsseldorf,40472","oberemmel,trier-saarburg",1,47846
"düsseldorf,40472","seehof,nordwestmecklenburg",1,109972
"düsseldorf,40479","wenningstedt-braderup,nordfriesland",1,113351
"düsseldorf,40545","kappeln,schleswig-flensburg",1,116598
"düsseldorf,40547","manderscheid,bernkastel-wittlich",1,34179
"düsseldorf,40549","heiligenhafen,ostholstein",1,120464
"düsseldorf,40549","huppenbroich,cologne",1,20519
"düsseldorf,40549","langeoog,wittmund",1,75980
"düsseldorf,40549","seepark kirchheim,kassel",1,53748
"düsseldorf,40597","lehe,ammerland",1,67537
"düsseldorf,40625","hooksiel,friesland",1,74237
"eberswalde,16225","wernigerode,harz",1,62212
"ebsdorfergrund,35085","feriendorf frankenau,kassel",1,11210
"eckental,90542","arnbruck,lower bavaria",1,36619
"eckental,90542","süderende,nordfriesland",1,160948
"eckernförde,24340","abwinkl,upper bavaria",1,204038
"edenkoben,67480","prerow,nordvorpommern",1,173368
"edermünde,34295","friedrichskoog-spitze,dithmarschen",1,84175
"edingen-neckarhausen,68535","ofterschwang,swabia",1,66321
"egelsbach,63329","lüneburg,lüneburg",1,102549
"eggenstein,76344","knielingen,karlsruhe",1,1726
"eggermühlen,49577","werdern,arnsberg",1,39220
"eggersdorf,15345","zermützel,ostprignitz-ruppin",1,22312
"egling a.d. paar,86492","jaderaltendeich,wesermarsch",1,161611
"ehlscheid,56581","klein labenz,rostock",1,124777
"ehringshausen,35630","giessen,giessen",1,6159
"einbeck,37574","sandbrink,diepholz",1,34028
"eisenach,99817","brückrachdorf,neuwied",1,51164
"eisenach,99817","trent,rügen",1,117538
"eisenach,99817","zingst,nordvorpommern",1,111010
"eisenberg,7607","krakow am see,rostock",1,79948
"eisenberg,67304","ferienpark heilbachsee,vulkaneifel",1,29507
"eisfeld,98673","einberg,upper franconia",1,4863
"eisingen,97249","ditzum,leer",1,115618
"eisingen,97249","königssee,upper bavaria",1,89039
"eisleben,6295","zinnowitz,ostvorpommern",1,86856
"eitorf,53783","fedderwardersiel,wesermarsch",1,85669
"ellwangen,73479","leutkirch im allgäu,tübingen",1,34002
"elmenhorst,18107","kappeln,schleswig-flensburg",1,39096
"elmshorn,25335","boren,schleswig-flensburg",1,25754
"elmshorn,25335","olpenitzdorf,schleswig-flensburg",1,27748
"elsdorf,50189","dagebüll,nordfriesland",1,119468
"elsdorf,50189","osterreinen,swabia",1,127092
"elsdorf,50189","schönhagen,rendsburg-eckernförde",1,126572
"elsterheide,2979","zerpenschleuse,barnim",1,42557
"elstertrebnitz,4523","klingenthal,chemnitz",1,23530
"eltville,65343","kappeln,schleswig-flensburg",1,140881
"eltville,65343","moormerland,leer",1,97551
"elz,65604","neustadt am rennsteig,langer berg",1,54979
"embsen,21409","großenbrode,ostholstein",1,37688
"emden,26723","röbel,mecklenburgische seenplatte",1,96167
"emden,26725emden","ostseebad,rügen",1,116970
"emlichheim,49824","butjadingen,wesermarsch",1,39525
"emlichheim,49824","wernigerode,harz",1,75514
"emsdetten,48282","bockholt,münster",1,1382
"emsdetten,48282","heimbach,cologne",1,49690
"engehausen,29690","steinwarder,ostholstein",1,54977
"ense,59469","niedersalwey,arnsberg",1,8129
"eppertshausen,64859","zingst,nordvorpommern",1,150496
"eppstein,65817","müritz,rostock",1,139924
"eppstein,65817","zingst,nordvorpommern",1,149625
"erbach,64711","monreal,mayen-koblenz",1,40329
"erftstadt,50374","alt travemünde - rönnau,lübeck",1,119973
"erftstadt,50374","au,upper bavaria",1,116145
"erftstadt,50374","bansin,ostvorpommern",1,163243
"erftstadt,50374","hatshausen,leer",1,76854
"erftstadt,50374","norddeich,aurich",1,84102
"erftstadt,50374","sillens,wesermarsch",1,87228
"erfurt,99085","prerow,nordvorpommern",1,106153
"erfurt,99085","roes,cochem-zell",1,74881
"erfurt,99086","ribnitz,rostock",1,99984
"erfurt,99096","bansin,ostvorpommern",1,105642
"erfurt,99096","zingst,nordvorpommern",1,107560
"erfurt,99097","hinternah,hildburghausen",1,13876
"erfurt,99099","groß zicker,rügen",1,109598
"ergolding,84030","prerow,nordvorpommern",1,173868
"eriskirch,88097","neudes,upper franconia",1,87789
"erkelenz,41812","dangast,friesland",1,77587
"erkner,15537","mauth,lower bavaria",1,105046
"erkrath,40699","küstelberg,arnsberg",1,31560
"erlangen,91056","dagebüll,nordfriesland",1,158105
"erlangen,91058","zingst,nordvorpommern",1,148009
"erlangen,91058","zirchow,ostvorpommern",1,140842
"erpel,53579","rudow,neukölln",1,127806
"eschborn,65760","gudendorf,dithmarschen",1,115603
"eschborn,65760","neßmersiel,aurich",1,106965
"escheburg,21039","westerdeichstrich,dithmarschen",1,32680
"eschershausen,37632","burhave,wesermarsch",1,54449
"eschweiler,52249","bensersiel,wittmund",1,88021
"espelkamp,32339","thale,harz",1,47718
"essen,45127","köllerbach,saarbrücken",1,64041
"essen,45134","falkau,freiburg",1,107368
"essen,45138","frohnhausen,düsseldorf",1,1368
"essen,45139","dagebüll,nordfriesland",1,101598
"essen,45141","kronenburg,cologne",1,34691
"essen,45144","altstadt,freiburg",1,104080
"essen,45144","haffkrug,ostholstein",1,102833
"essen,45219","bad urach,tübingen",1,97195
"essen,45259","priwall peninsula,lübeck",1,102077
"essen,45276","rennerod,westerwaldkreis",1,30968
"essen,45277","burhave,wesermarsch",1,68051
"essen,45289","eisenschmitt,bernkastel-wittlich",1,41537
"essen,45326","jemgum,leer",1,53488
"essen,45327","carolinensiel,wittmund",1,66570
"essen,45329","jordanshöhe,goslar",1,65003
"essen,45356","wyk auf föhr,nordfriesland",1,99056
"essen,45359","steinwarder,ostholstein",1,112771
"essen,45359","zingst,nordvorpommern",1,135633
"essen,49632","bad harzburg,goslar",1,53484
"essen, ruhr,45326","laboe,plön",1,104069
"etschberg,66871","kalterherberg,cologne",1,38097
"ettringen,56729","bettenfeld,bernkastel-wittlich",1,11911
"euskirchen,53881","timmendorfer strand,ostholstein",1,122772
"eutin,23701","jordanshöhe,goslar",1,71641
"eutin,23701","obermaiselstein,swabia",1,198727
"everswinkel,48351","münster,münster",1,3891
"falkenberg ot kruge,16259","wendtorfer strand,plön",1,80272
"falkensee,14612","sellin,ostvorpommern",1,42687
"falkensee,14612","teßmannsdorf,rostock",1,51225
"falkensee,14612","vieregge,rügen",1,59440
"faßberg,29328","norderteil,cuxhaven",1,36389
"feilitzsch,95183","glowe,rügen",1,128008
"feldafing,82340","bad könig,darmstadt",1,69568
"felde,24242","kappeln,schleswig-flensburg",1,10621
"fellbach,70736","mühlenbach,freiburg",1,28670
"feuchtwangen,91555","bargebur,aurich",1,143547
"finnentrop,57413","grömitz,ostholstein",1,102159
"finsterwalde,3238","jabel,mecklenburgische seenplatte",1,60408
"flechtingen,39345","graal,rostock",1,59709
"flensburg,24939","sankt peter-ording,nordfriesland",1,19845
"flensburg,24944","wackerballig,schleswig-flensburg",1,7075
"fockbek,24787","sankt peter-ording,nordfriesland",1,16454
"frankfurt,60316","sankt peter-ording,nordfriesland",1,124325
"frankfurt,60318","wismar,nordwestmecklenburg",1,122906
"frankfurt,60326","niedersfeld,arnsberg",1,34405
"frankfurt,60326","oldenburg,oldenburg",1,90677
"frankfurt,60329","hollern,stade",1,104803
"frankfurt,60385","kühlungsborn,rostock",1,131587
"frankfurt,60487","heiligenhafen,ostholstein",1,132940
"frankfurt,60488","sandbrink,diepholz",1,70428
"frankfurt,60528","nordend-ost,darmstadt",1,1976
"frankfurt,65931","altefähr,rügen",1,151369
"frankfurt (oder),15236","lancken,rügen",1,63442
"frankfurt am main,60320","glowe,rügen",1,157792
"frankfurt am main,60320","jordanshöhe,goslar",1,58480
"frankfurt am main,60329","bahnhofsviertel,darmstadt",1,98
"frankfurt am main,60329","strotzbüsch,vulkaneifel",1,32401
"frankfurt am main,60388","börgerende,rostock",1,131532
"frankfurt am main,60388","südwinsen,celle",1,77669
"frankfurt am main,60528","schönenbach,freiburg",1,60646
"frankfurt am main,60598","humboldt - gremberg,cologne",1,40556
"frankfurt am main,60599","dorfmark,heidekreis",1,85739
"frankfurt am main,65933","walchum,emsland",1,87554
"frauendorf,1945","börgerende,rostock",1,1634638
"frechen,50226","feriendorf freilingen,cologne",1,14277
"frechen,50226","heringsdorf,ostholstein",1,126129
"frechen,50226","kappeln,schleswig-flensburg",1,124761
"frechen,50226","norddeich,aurich",1,80701
"fredenbeck,21717","olpenitzdorf,schleswig-flensburg",1,35473
"fredersdorf,15370","rott,detmold",1,91884
"fredersdorf,15370","wernigerode,harz",1,57576
"fredersdorf-vogelsdorf,15370","priwall peninsula,lübeck",1,66553
"fredersdorf-vogelsdorf,15370","tanne,harz",1,60234
"freiberg,9599","groß schwansee,nordwestmecklenburg",1,100586
"freiburg,79106","tinnum,nordfriesland",1,205034
"freiburg,79112","speyer,speyer",1,41941
"freiburg im breisgau,79117","alpirsbach,karlsruhe",1,15228
"freigericht,63579","hillesheim,vulkaneifel",1,47187
"freising,85354","eckernförde,rendsburg-eckernförde",1,183645
"freising,85356","bad reichenhall,upper bavaria",1,29471
"freital,1705","büsum,dithmarschen",1,126908
"freital,1705","sellin,rügen",1,100302
"freyburg,6632","thale,harz",1,20244
"frickenhausen,72636","schollach,freiburg",1,28419
"frickenhausen,97252","ostseebad,rügen",1,154073
"friedberg,61169","oberasberg,lower bavaria",1,95044
"friedrichsruhe,19089","prora,rügen",1,41828
"frielendorf,34621","großenbrode,ostholstein",1,105633
"frielendorf,34621","zingst,nordvorpommern",1,119318
"friesoythe,26169","bansin,ostvorpommern",1,114400
"friesoythe,26169","börgerende,rostock",1,78584
"friesoythe,26169","staberdorf,ostholstein",1,72884
"fritzlar,34560","olpenitzdorf,schleswig-flensburg",1,105584
"fronhausen,35112","korswandt,ostvorpommern",1,137486
"fuchshain,4683","göhren,rügen",1,93435
"fulda,36037","radisleben,harz",1,46192
"fulda,36041","westerland,nordfriesland",1,131874
"fuldabrück,34277","burhave,wesermarsch",1,72147
"fuldabrück,34277","drei,schleswig-flensburg",1,107349
"fuldabrück,34277","kaimt,cochem-zell",1,56551
"fürstenwalde,15517","büsum,dithmarschen",1,106244
"fürth,90763","mühlheim,upper bavaria",1,17810
"gachenbach,86565","nienkattbek,rendsburg-eckernförde",1,171771
"gaggenau,76571","luft,upper bavaria",1,87021
"gaggenau,76571","mauth,lower bavaria",1,102885
"gailingen,78262","west,freiburg",1,20291
"ganderkesee,27777","grömitz,ostholstein",1,53658
"ganderkesee,27777","heiligenhafen,ostholstein",1,57966
"ganderkesee,27777","sandbrink,diepholz",1,16265
"ganderkesee,27777","westerland,nordfriesland",1,55308
"garbsen,30827","steinhude,hanover region",1,4709
"garching,85748","bohnsdorf,treptow-köpenick",1,128508
"gardelegen,39638","norderteil,cuxhaven",1,58990
"gardelegen,39638","stralsund,nordvorpommern",1,60540
"garding,25836","priwall peninsula,lübeck",1,38146
"garmisch-partenkirchen,82467","borkum,leer",1,199510
"gaustritz,1728","niehagen,nordvorpommern",1,103292
"geeste,49744","wangerland,friesland",1,33759
"geesthacht,21502","großenbrode,ostholstein",1,30334
"geesthacht,21502","kühlungsborn ost,rostock",1,32399
"gefrees,95482","dambach,middle franconia",1,23743
"gehrden,30989","schilksee,plön",1,63022
"geilenkirchen,52511","bad münster am stein-ebernburg,bad kreuznach",1,47277
"geilenkirchen,52511","feriendorf venekotensee,düsseldorf",1,7892
"geisa,36419","reithamm,aurich",1,96989
"geisenheim,65366","brückrachdorf,neuwied",1,16162
"geithain,4643","vieregge,rügen",1,104895
"gelnhausen,63571","funnix,wittmund",1,104686
"gelnhausen,63571","haffkrug,ostholstein",1,117129
"gelnhausen,63571","treuen,chemnitz",1,59057
"gelsenkirchen,45879","burhave,wesermarsch",1,65593
"gelsenkirchen,45881","löcknitz,uecker-randow",1,141077
"gelsenkirchen,45881","schweighausen,freiburg",1,99624
