origin,destination,number of trips,CO2 in grams
"bad bevensen,29549","priwall peninsula,lübeck",1,26315
"bad bramstedt,24576","goting,nordfriesland",1,33426
"bad breisig,53498","seebad heringsdorf,ostvorpommern",1,161439
"bad camberg,65520","friedrichskoog-spitze,dithmarschen",1,111048
"bad essen,49152","sandbrink,diepholz",1,5196
"bad freienwalde,16259","strasen,mecklenburgische seenplatte",1,22505
"bad freienwalde,16259","wenningstedt-braderup,nordfriesland",1,118239
"bad harzburg,38667","quetzin,ludwigslust-parchim",1,57023
"bad hersfeld,36251","priwall peninsula,lübeck",1,93834
"bad honnef,53604","borgsum,nordfriesland",1,122173
"bad kissingen,97688","wiek,rügen",1,143608
"bad klosterlausnitz,7639","kachlin,ostvorpommern",1,96951
"bad kreuznach,55543","donaueschingen,freiburg",1,57068
"bad kreuznach,55543","lehengericht,freiburg",1,46410
"bad lauchstädt,6246","bad schmiedeberg,wittenberg",1,18339
"bad lausick,4651","görlitz,dresden government region",1,43362
"bad liebenstein,36448","seebad heringsdorf,ostvorpommern",1,115356
"bad liebenstein,36448","sellin,rügen",1,121087
"bad liebenstein,36448","titmaringhausen,arnsberg",1,34396
"bad liebenwerda,4924","kappeln,schleswig-flensburg",1,111456
"bad liebenzell,75378","neßmersiel,aurich",1,147475
"bad liebenzell,75378","plön,plön",1,162830
"bad lippspringe,33175","friedrichskoog,dithmarschen",1,66198
"bad lippspringe,33175","priwall peninsula,lübeck",1,73982
"bad muskau,2953","lenz-süd,mecklenburgische seenplatte",1,71224
"bad münder,31848","grömitz,ostholstein",1,63460
"bad münder,31848","kappeln,schleswig-flensburg",1,73010
"bad münder,31848","priwall peninsula,lübeck",1,57412
"bad münstereifel,53902","glowe,rügen",1,169772
"bad nauheim,61200","sankt peter-ording,nordfriesland",1,116966
"bad nauheim,61231","parow,nordvorpommern",1,141953
"bad oeynhausen,32547","kappeln,schleswig-flensburg",1,75388
"bad oeynhausen,32549","wyk auf föhr,nordfriesland",1,72980
"bad oldesloe,23843","gosdorf,ostholstein",1,16028
"bad oldesloe,23843","priwall peninsula,lübeck",1,9632
"bad oldesloe,23843","sobrigau,dresden government region",1,104162
"bad orb,63619","rudow,neukölln",1,100695
"bad reichenhall,83435","frauendorf,upper franconia",1,77797
"bad rothenfelde,49084","timmendorfer strand,ostholstein",1,72857
"bad rothenfelde,49214","priwall peninsula,lübeck",1,73370
"bad salzdetfurth,31162","wilsche,gifhorn",1,15322
"bad salzuflen,32105","olpenitzdorf,schleswig-flensburg",1,79779
"bad salzuflen,32107","achtrup,nordfriesland",1,80946
"bad salzuflen,32107","boltenhagen,nordwestmecklenburg",1,72420
"bad salzuflen,32107","kühlungsborn-west,rostock",1,81962
"bad salzuflen,32107","schwarzbach,upper bavaria",1,151453
"bad salzuflen,32108","priwall peninsula,lübeck",1,66501
"bad segeberg,23795","sellin,rügen",1,60311
"bad staffelstein,96231","wiek,rügen",1,140347
"bad tölz,82646","zandt,upper palatinate",1,47306
"bad urach,72574","altefähr,rügen",1,186625
"bad vilbel,61118","hörnum,nordfriesland",1,135818
"bad waldsee,88339","list,nordfriesland",1,212313
"bad wildbad,75323","rutenberg,uckermark",1,161898
"bad zwesten,34596","sandbrink,diepholz",1,45911
"baddeckenstedt,38271","sellin,rügen",1,91702
"baiersbronn,72270","baiersbronn,karlsruhe",1,1196
"ballenstedt,6493","prora,rügen",1,90867
"bamberg,96052","mühlwinkl,upper bavaria",1,72644
"banzkow,19079","boltenhagen,nordwestmecklenburg",1,14708
"barleben,39179","gleichamberg,hildburghausen",1,57628
"barmstedt,25355","niendorf/ostsee,ostholstein",1,19480
"barnstorf,49406","karschau,schleswig-flensburg",1,61984
"bartholomä,73566","zingst,nordvorpommern",1,175958
"barßel,26676","schonnebeck,düsseldorf",1,51299
"bautzen,2625","lemkenhafen,ostholstein",1,113927
"bayreuth,95444","luitpolderhöfe,upper bavaria",1,67154
"bayreuth,95448","schönhagen,rendsburg-eckernförde",1,142415
"bechhofen,91572","nienhagen,rostock",1,150248
"beckingen,66701","haustadt,merzig-wadern",1,834
"beckum,59269","rerik,rostock",1,94656
"bedburg,50181","morscheid-riedenburg,bernkastel-wittlich",1,38573
"bedburg-hau,47551","isny im allgäu,tübingen",1,141546
"beeskow,15848","leisten,ludwigslust-parchim",1,53187
"beilrode,4886","altwarp siedlung,uecker-randow",1,68049
"beilstein,71717","preming,lower bavaria",1,79374
"belm,49191","neuendorf,rügen",1,111823
"bendestorf,21227","karlshagen,ostvorpommern",1,71634
"bendorf,56170","mußbach,neustadt",1,33419
"bendorf,56170","neustadt,neustadt",1,33833
"bendorf,56170","prora,rügen",1,161206
"bennewitz,4828","poel,nordwestmecklenburg",1,81582
"bensheim,64625","wenningstedt-braderup,nordfriesland",1,155854
"bentwisch,18182","born a. darß,nordvorpommern",1,9709
"bentwisch,19322","eckernförde,rendsburg-eckernförde",1,53843
"berg/pfalz,76768","waren,müritz",1,158236
"bergen,29303","blankenburg,harz",1,34756
"bergheim,50127","büsum,dithmarschen",1,102692
"bergheim,50129","merzalben,südwestpfalz",1,55052
"bergheim,50129","sobernheim,bad kreuznach",1,39674
"bergisch gladbach,51427","hooksiel,friesland",1,81076
"bergisch gladbach,51427","kamschlacken,landkreis osterode am harz",1,64914
"bergisch gladbach,51427","wyk auf föhr,nordfriesland",1,113759
"bergisch gladbach,51467","niedersfeld,arnsberg",1,28024
"bergkamen,59192","surendorf,rendsburg-eckernförde",1,95497
"berlin,10115","althagen,nordvorpommern",1,56626
"berlin,10115","baabe,rügen",1,54596
"berlin,10115","kappel,freiburg",1,170666
"berlin,10115","karlshagen,ostvorpommern",1,47657
"berlin,10117","bad salzuflen,detmold",1,85080
"berlin,10117","gosdorf,ostholstein",1,66239
"berlin,10117","lenzinghausen,detmold",1,89631
"berlin,10178","karlshagen,ostvorpommern",1,47872
"berlin,10179","entfelden,upper bavaria",1,144724
"berlin,10243","kölpinsee,ostvorpommern",1,46440
"berlin,10243","sankt peter-ording,nordfriesland",1,100010
"berlin,10243","vieregge,rügen",1,60933
"berlin,10245","rutenberg,uckermark",1,22438
"berlin,10247","gartenstadt,märkisch-oderland",1,8227
"berlin,10247","kappeln,schleswig-flensburg",1,89115
